body,title,url
"Tras la publicación de la Ley N° 31022, que precisa que los fondos retirados de los aportantes a la AFP en el marco de la emergencia sanitaria por el COVID-19 son intangibles, el congresista y vocero de Fuerza Popular, Diethell Columbus, expresó su satisfacción por “el resultado de esta dura batalla que culminó con un triunfo en favor de millones de peruanos”.Durante la sesión de la Comisión de Economía de hoy, que recibió a la jefa de la Superintendencia de Banca, Seguro y AFP (SBS), Socorro Heysen, el parlamentario saludó el trabajo de toda la comisión para hacer esta precisión legal y destacó que los legisladores priorizaron los intereses de la ciudadanía sobre los intereses partidarios y que el resultado es la aprobación de normas en favor de la gente.Como se recuerda, el pasado 16 de mayo, la SBS, mediante un comunicado, informó que bancos u otras entidades del sistema financiero podrán cobrar automáticamente los pagos pendientes por deudas a través del retiro de hasta el 25% de los fondos de las AFP, aprobados mediante la Ley N° 31017.Ante este hecho, el parlamentario remitió un oficio a la jefa de la SBS aclarando que dichos fondos son intangibles según lo dispuesto en el Decreto de Urgencia N° 056-2020, por lo que no pueden ser sujeto a embargos o retenciones. Frente a la comunicación del parlamentario, la entidad corrigió su comunicado.Finalmente, la Comisión de Economía aprobó el dictamen que garantiza la intangibilidad de los fondos de los aportantes de las AFP, lo cual fue reafirmado por el pleno del Congreso y publicado el día de hoy en el diario oficial El Peruano.", Diethell Columbus: Intangibilidad de retiro de AFP fue una dura batalla  ,https://diariocorreo.pe//politica/diethell-columbus-intangibilidad-de-retiro-de-afp-fue-una-dura-batalla-noticia/
"Al menos 10 personas entre parroquianos y damas de compañía fueron intervenidas la noche del sábado en el centro nocturno El Safari, local que funcionaba pese a restricciones del Estado para evitar los contagios por COVID-19.En la operación policial los agentes de Trata de Personas de la División de Investigación Criminal (Divincri), ingresaron al establecimiento ubicado en el pasaje Los Rosales, en el distrito de José Luis Bustamante y Rivero, donde presuntamente se ejercía la prostitución. En el segundo piso hallaron a jovencitas venezolanas que ofrecías sus servicios. Jhon Mamani Atamari, y Erick Dugarte García, ambos de nacionalidad extranjera, fueron detenidos al ser sospechosos del delito contra la libertad sexual en la modalidad de proxenetismo, y por violar las medidas  sanitarias.", Intervienen a 10 personas en un local nocturno de Arequipa,https://diariocorreo.pe//edicion/arequipa/intervienen-10-personas-en-un-local-nocturno-de-arequipa-942871/
"Un padre de familia que logró superar el coronavirus, pero cuya economía ha sido golpeada en medio del estado de emergencia y distanciamiento social tuvo que romper “su chanchito” de ahorros y verse obligado a despedirse de su colección de monedas peruanas.MIRA: Hombre baila huaylarsh con su perrito en medio de cuarentena por coronavirus (VIDEO)Su hija publicó videos en TikTok indicando que su padre sufre de asma y por lo tanto es paciente en riesgo. Luego que se le detectó COVID-19, su padre fue ingresado al hospital con problemas en los pulmones. Y posteriormente fue dado de alta; sin embargo su madre y ella también resultaron contagiadas.Padre de familia con coronavirus rompe su chanchito de ahorros -Diario Correo Como es sabido, la pandemia del COVID-19 no solo viene afectando la salud de los ciudadanos, sino la economía peruana y a nivel mundial, lo cual se refleja en la reducción de puestos de trabajo y en los ingresos de las familias.Por ello, este padre de familia decidió romper su alcancía con forma de “chanchito” para reinventarse y vender deliciosas y dulces empanadas; a pesar que ello haya significado decir adiós a su colección de monedas. La iniciativa ha sido bien recibida por sus primeros clientes como los parientes y amigos de la familia.TE PUEDE INTERESAR:Joven chilena se divorcia por Zoom durante cuarentena: “Me acabo de divorciar por Zoom!” (VIDEO)Abuelita dona sus cosechas para personas afectadas por el COVID-19: “Aquí les traigo una cositas” (FOTOS)Richard Arce denuncia que el Congreso le depositó bono de S/5,200 a pesar que ya no es legislador (FOTOS)Ciudad italiana libre de COVID-19 vende viviendas a un euro para repoblar el lugar (FOTOS)VIDEO RELACIONADO:Incrementan las ventas mediante comercio electrónico durante estado de emergencia ", Padre de familia rompe su chanchito de ahorros y se ve obligado a usar su colección de monedas peruanas (VIDEOS),https://diariocorreo.pe//miscelanea/padre-de-familia-rompe-su-chanchito-de-ahorros-y-se-ve-obligado-a-usar-su-coleccion-de-monedas-peruanas-videos-economia-crisis-insolito-alcancia-coronavirus-peru-estados-unidos-usa-mexico-argentina-noticia/
"Las administradoras de fondos de pensiones (AFP) informaron del segundo cronograma por el que se solicitará el retiro del dinero para los afiliados que no hubieran podido registrar su pedido en el primer periodo.Las fechas para solicitar el retiro del dinero están acordes al último dígito del Documento Nacional de Identidad (DNI).Desde el 15 de junio los afiliados que tengan o no una cuenta en una entidad financiera podrán ingresar su solicitud desde las 8 a.m hasta las 8 p.m en www.consultaretiroafp.peSegún la presidenta de la Asociación de AFP, Giovanna Prialé, los cronogramas buscan garantizar que la devolución de los ahorros a los afiliados sea de forma ordenada, ya que hay que considerar que hay más de 6 millones de aportantes.Existen ocho entidades donde podrá recibir el dinero ingresando su número de cuenta, y otras ocho en donde deberá ingresar su código de cuenta interbancario (CCI).En el primer caso se trata del Banco de la Nación, BanBif, BCP, BBVA, Interbank, Banco Pichincha, Scotiabank y Caja Huancayo.Por otro lado, deberá presentar el CCI si quiere recibir el depósito en las siguientes entidades: Banco de Comercio, Banco Falabella, Banco GNB, Crediscotia, Caja Arequipa, Caja Piura, Caja Sullana y Caja Tacna.Al día siguiente de registrada la solicitud le llegará un correo donde se confirme el registro.Cronograma de retiro del 25% de fondos de pensiones. Cronograma de retiro del 25% de fondos de pensiones. VIDEO RECOMENDADO¿Cómo se están llevando a cabo los desconfinamientos en el mundo?¿Cómo se están llevando a cabo los desconfinamientos en el mundo? ", Retiro del 25% de AFP: Conoce el segundo cronograma para solicitar tu dinero,https://diariocorreo.pe//economia/retiro-del-25-de-afp-conozca-aqui-el-segundo-cronograma-para-solicitar-su-dinero-habitat-profuturo-integra-prima-nndc-noticia/
"En una democracia como la nuestra, las ciudadanas y ciudadanos son iguales ante la ley. En teoría, cuentan con la misma capacidad para ejercer sus derechos y desarrollarse. Sin embargo, en la práctica existen desigualdades económicas, sociales y culturales que limitan esto. Un gran ejemplo son las dificultades que afronta cotidianamente la población afroperuana en nuestro país. Los problemas raciales estructurales aquí no son muy distintos a los que hemos visto evidenciados en otras latitudes.En el Perú, alrededor del 4% de la población se identifica como afroperuana, según el Censo del 2017. Solo el 11.5% de ellos cuentan con estudios universitarios, mientras que en el resto de los grupos poblaciones esta cifra llega a casi el doble, 22.1%. Es una diferencia reveladora y preocupante.Y si las barreras educativas no fuesen suficiente, se ha probado que también existe marginación en las oportunidades laborales. Un estudio del 2015 de la Universidad del Pacífico demostró, enviando miles de CVs ficticios a convocatorias reales de trabajo, que una persona afroperuana recibe 38% menos respuestas que una persona blanca con niveles similares de educación y preparación, al aplicar a un puesto profesional.El problema del racismo - que también afecta a otros grupos, como los pueblos indígenas amazónicos y andinos - está presente en nuestra sociedad desde su origen. A poco más de un año del bicentenario es importante que lo enfrentemos con firmeza. El primer paso de ello es reconocer el problema y hablar sobre cómo nos afecta. El racismo se nutre del silencio para hacerse más fuerte y seguir instalado en nuestra vida cotidiana. Es hora de decirle - de decirnos - basta.", El racismo silencioso,https://diariocorreo.pe//opinion/el-racismo-silencioso-noticia/
"Alianza Lima finalmente decidió despedir a Jean Deza por sus reiteradas indisciplinas a inicios de año, informó este domingo El Comercio. De esta manera, el delantero nacional se aleja del proceso que iniciará Mario Salas en La Victoria. La institución blanquiazul decidió resolver el contrato del atacante que había sido separado de manera provisional de su plantel principal debido a sus apariciones en salidas nocturnas, cuando Pablo Bengoechea estaba al mando del equipo.Desde Alianza Lima han confirmado que el jugador fue despedido por incumplir el reglamento interno del club y no formará parte del retorno del cuadro ‘íntimo’ a la Liga 1, bajo la dirección de Mario Salas.“Ya se cumplieron con todos los plazos legales y el club ya tomó una decisión que, por respeto, primero se le notificará al jugador antes de hacerla pública”, había adelantado este martes el director deportivo de Alianza Lima, Víctor Hugo Marulanda.Deza dejó de formar parte del primer equipo victoriano antes de la suspensión de actividades en el fútbol peruano por la pandemia de COVID-19. Su salida se mantuvo en suspenso a lo largo de la paralización del campeonato ante la emergencia y fue confirmada antes de la reanudación de entrenamientos en Matute.La evaluación estuvo a cargo del Comité de Ética de Alianza Lima, conformado por el asesor legal de la entidad, Víctor Marulanda y Kattia Bohorquez, actual administradora. Ellos resolvieron separar a Jean Deza debido a su mal comportamiento.VIDEO RELACIONADO:Matute: Vecinos del Estadio de Alianza no quieren a los ambulantesMatute: Vecinos del Estadio de Alianza no quieren a los ambulantes. (Latina) ", No va más en Matute: Alianza Lima despidió a Jean Deza ,https://diariocorreo.pe//deportes/alianza-lima-jean-deza-fue-despedido-del-club-victoriano-liga-1-nczd-noticia/
"Mercedes Aráoz, exvicepresidenta de la República, fue interrumpida cuando estaba preparando sus clases que dictará en la Universidad del Pacífico, una nueva etapa en su vida. Ella, en entrevista con Correo, negó conocer al cantante Richard Cisneros, o más conocido como Richard Swing.“La verdad no (lo conocí). Lo he visto, se habrá tomado una foto conmigo, una cosa así, pero no lo recuerdo en la campaña”, expresa la excongresista a este diario.MIRA: Revelan conversaciones de ‘Richard Swing’ con Susana de la Puente y Mercedes AráozAl ser consultada si fue testigo de una presunta cercanía entre Richard Swing y el presidente de la República, Martín Vizcarra, dijo no vio nada al respecto y reconoció que lo vio cantar en un par de eventos de campaña del entonces partido Peruanos por el Kambio.MIRA: Ciro Maguiña: Ivermectina veterinaria se podría usar en “situaciones extremas” (ENTREVISTA)“No he visto nada eso, lo único que puedo decir es que yo estaba trabajando en el tema de personeros y salía a hacer campañas. Entonces, la verdad, no lo he visto, aparentemente sí cantó en un par de eventos, pero no era parte importante de la campaña en ningún sentido. No era una persona que compartiera cuando estábamos en temas de miradas estratégicas de la campaña”, explicó.¿Cómo llegó a la campaña de PPK?Mercedes Aráoz desconoce cómo llegó el cantante a la campaña presidencial de Pedro Pablo Kuczynski y se refirió al chat difundido en medios de comunicación en que él le escribe para saludarlo por su cumpleaños.“Había tanta gente que no sé (cómo llegó), no tengo idea. Hay ese chat, donde yo no participaba, donde Susana (dice) que el señor ha hecho canciones para nosotros, bueno, nada más. No lo conozco. Me saludó porque habíamos sido electos y porque era mi cumpleaños y yo dije gracias. La verdad es que dije gracias a miles de personas que me escribieron para felicitarme. Había gente que había participado en la campaña y que no también. A todo el mundo le agradecía por cortesía”, expresó la exvicepresidenta.“No me parece una persona calificada”Para la exparlamentaria, Richard Swing no es una persona calificada para las funciones que fue contratado en el Ministerio de Cultura y por el que cobró más de 175 mil soles.“Sí lo vi (en la Comisión de Fiscalización), pero no me parece una persona calificada para ejercer las funciones que supuestamente ha hecho. Hay que ver cómo habrán hecho la contratación y que se hagan todas las investigaciones. Tanto como la Contraloría y Fiscalía investiguen sobre el tema y que lleguen a descubrir qué es lo que ha pasado”, manifestó.Se le preguntó a Mercedes Aráoz si el manejo de la Comisión de Fiscalización en el interrogatorio a el cantante fue el correcto. Ella comprendió la dificultad del sistema tecnólogico.“Lo que pasa es que es bien difícil manejar un debate mediante un sistema electrónico. Entiendo que es más complicado a cada rato se cruzaban las voces, era bastante complejo. Creo que el tema amerita una mayor investigación y la comisión tiene el deber de hacerlo y quizás controlarle los tiempos al señor porque se tomaba mucho tiempo para explicar algo que no se llegaba a entender”, sostuvo.¿A qué se dedica Mercedes Aráoz?La exvicepresidenta contestó que ahora se ha reincorporado a la Universidad del Pacífico donde enseñará dos cursos: Política Pública y Teoría del comercio internacional.“Me he reincorporado al dictado de la universidad, estoy preparando mis clases, trabajando en mis temas académicos. Siempre he sido profesora universitaria. No estoy dictando todavía, recién me he reincorporado a la Universidad del Pacífico y voy a dictar mis clases”, indicó.“Justo ahorita usted me ha tomado preparando lo que voy a dictar en el próximo semestre. Voy a dictar un curso de política pública y otro curso de teoría del comercio internacional. Estoy trabajando con la escuela de posgrado, apoyando en los temas de la universidad, en todas las funciones que tenemos. Estoy bastante contenta, vuelvo a mi espacio y creo que puedo servir desde ahí a mi país"", finalizó.VIDEO RECOMENDADOCongreso de la República acepta renuncia de Mercedes AráozCongreso de la República acepta renuncia de Mercedes Aráoz ", Mercedes Aráoz rompe su silencio: “Richard Swing no me parece una persona calificada” (ENTREVISTA) ,https://diariocorreo.pe//politica/mercedes-araoz-rompe-su-silencio-richard-swing-no-me-parece-una-persona-calificada-martin-vizcarra-ppk-entrevista-noticia/
"La cerveza “Residente”, del artista puertorriqueño René Pérez Joglar, se vendió este domingo 14 de junio por primera vez en Puerto Rico, y debido a su interés, la cantidad de latas preparadas para venderse se acabaron en un par de horas.MIRA: “Yo soy Betty, la fea”: mira cómo luce Mario Calderón, el amigo de don Armando en exitosa telenovela (VIDEO y FOTOS)El establecimiento “El Nido”, en Bayamón -ciudad colindante con San Juan- fue donde se comenzó a vender la bebida, y adonde llegaron decenas de personas buscando la cerveza. En su cuenta de Instagram, “El Nido” anunció que la cerveza se vendería entre las 12:00 y las 17:00 horas, pero ya a las 15:00 se había acabado.Residente, según se destaca, es un gran seguidor de las cervezas europeas, entre las que aprecia en especial la marca Tripel Karmeliet. Por ello, su cerveza lleva por nombre “Residente Tripel”. Este tipo de cerveza se destaca por una levadura que le da el carácter y por su alto porcentaje de alcohol, de entre 7 y 8 grados, según el sitio web Craft Beer Generation.Según consta en la citada página, Residente se unió a la firma para colaborar en su propio producto. “El estilo de la cerveza también es similar a las Belgian Golden Strong Ales, pero son más oscuras y tienen un perfil de sabor notablemente dulce a malta”, destaca Craft Beer Generation.         Ver esta publicación en Instagram           My beer is coming out soon. Residente beer 🍺 🔥🔥🔥🔥 Una publicación compartida por  René Pérez Joglar (@residente) el 29 de May de 2020 a las 6:38 PDT El artista puertorriqueño, según medios locales, lleva trabajando en este proyecto desde el año pasado, cuando empezó con la idea junto a la cervecera Del Oeste, donde se confecciona la nueva marca de cervezas artesanales, elaboradas en Mayagüez.Del Oeste es una compañía propiedad de Cervecera de Puerto Rico, que elabora Medalla Light, la marca más popular de la isla caribeña y ganadora de premios internacionales.Hace varios días, Pérez Joglar publicó un video escenificando una cata de cervezas, en el camino a ofrecer a sus seguidores un producto de primera calidad desde su propia experiencia de consumidor, que le lleva ahora a hacer una incursión en el mundo de la empresa.“Estamos buscando la mejor opción para el público cervecero”, afirmó Residente en aquel entonces.         Ver esta publicación en Instagram           En casita tranquilo y bien acompañado. Pronto #CervezaResidente #ResidenteTripel [R] In the house, calm and in good company. Coming soon... Una publicación compartida por  René Pérez Joglar (@residente) el 14 de Mar de 2020 a las 6:24 PDT VIDEO RECOMENDADO“Antes que se acabe el mundo”, lo nuevo de “Residente”Residente juntó 113 besos en siete minutos para el videoclip de “Antes que se acabe el mundo” ", Residente inició con la venta de su marca de cerveza y resultado sorprende,https://diariocorreo.pe//miscelanea/rene-perez-residente-comenzo-con-la-venta-de-su-marca-de-cerveza-y-resultado-es-sorprendente-nndc-nnes-noticia/
"Las cifras reveladas por el Ministerio de Salud a través de su reporte diario a causa de la epidemia del nuevo coronavirus han dado una luz de esperanza respecto al futuro del país. Es la primera vez que la cifra de personas dadas de alta superó la de casos activos de esta enfermedad desde que se detectó al primer paciente. La diferencia entre ambas estadísticas es de 1,422 pacientes, tomando en cuenta que este domingo el Ministerio de Salud reportó 229,736 casos acumulados de COVID-19 y 115,579 altas médicas.MIRA: ¿Qué es el número R y por qué Víctor Zamora asegura que está descendiendo en el Perú?En cuanto a la totalidad de casos, se concluye que 46.78% continúa su tratamiento, 50.31% superó la enfermedad y, lamentablemente, 2.91% falleció a causa del nuevo coronavirus.Sobre el número de contagios se manifestó esta tarde el ministro de Salud, Víctor Zamora, quien aseguró que las cifras están reduciéndose progresivamente.MIRA: Curva de contagios de COVID-19 en Perú presenta descenso, según Universidad Johns HopkinsSin embargo, advirtió que hay regiones en los que la epidemia está incrementando, tales como Arequipa, Ica y Trujillo. “Tendremos que adoptar nuevas medidas”, indicó.Este escenario revalora la labor que ejercen los profesionales de la salud en todo el país, quienes se encuentran en la primera línea de batalla frente a esta enfermedad que ha cobrado más de 6.000 vidas en el Perú de manera oficial.ACTUALIZACIÓN | Esta es la situación del coronavirus #COVID19 en Perú hasta las 00:00 horas del 14 de junio. #PerúEstáEnNuestrasManos. Más información: https://t.co/UgqgUvrJy5 pic.twitter.com/N5msKbYOfI— Ministerio de Salud (@Minsa_Peru) June 14, 2020 VIDEO RELACIONADOMinistro Zamora manifestó que falta corroborar que los asintomáticos no transmiten el coronavirus 09 ", Número de altas médicas supera al de casos activos de COVID-19 por primera vez,https://diariocorreo.pe//peru/numero-de-altas-medicas-supera-al-de-casos-activos-de-covid-19-por-primera-vez-ministerio-de-salud-victor-zamora-minsa-coronavirus-en-peru-martin-vizcarra-noticia/
"Reconstrucción del Desembarcadero de San AndrésMás de 2,900 pescadores artesanales se favorecen de la recuperación de este desembarcadero, cuya inversión supera los S/ 4 millones. Construcción del camino a la Laguna MorónEsta obra beneficia 2 mil personas. La inversión fue S/ 3.2 millones y comprende el asfaltado de 9 kilómetros de pistas.Reconstrucción del Templo BelénEn el 2012 se logró consolidar el convenio para llevar a cabo esta importante obra, financiada por Camisea con más de S/ 2 millones. Ampliación y mejoramiento del sistema de alcantarillado de ParacasCon una inversión de S/ 2.5 millones, se logró dotar de agua potable a más de 2 mil personas en dos asentamientos del distrito de Paracas.Construcción del Centro de Atención al CiudadanoEste moderno local beneficia a más de 160 mil personas. Camisea invirtió más de S/ 4.5 millones.", Conoce cuáles son las mejoras emblemáticas tras el terremoto de Pisco,https://diariocorreo.pe//suplementos/conoce-cuales-son-las-mejoras-emblematicas-tras-el-terremoto-de-pisco-noticia/
